证券代码,证券名称,candle_end_time,open,最高价,最低价,close,涨跌,涨跌幅%,成交量,成交额
399019,创业200,2019-08-22,2475.05,2485.06,2460.29,2484.34,18.75,0.76,2321656400,24271422755
399019,创业200,2019-08-23,2487.98,2498.37,2460.27,2467.56,-16.79,-0.68,2392007200,24393481971
399019,创业200,2019-08-26,2410.94,2459.04,2410.94,2451.85,-15.71,-0.64,2302449100,22092870318
399019,创业200,2019-08-27,2471.86,2519.02,2469.75,2509.92,58.07,2.37,2836049700,27596710317
399019,创业200,2019-08-28,2503.94,2516.09,2496.11,2504.37,-5.55,-0.22,2678259800,25409045573
399019,创业200,2019-08-29,2514.32,2534.26,2507.55,2517.69,13.33,0.53,2926396200,27250311043
399019,创业200,2019-08-30,2534.04,2538.29,2455.89,2470.56,-47.14,-1.87,3227475600,32700625788
399019,创业200,2019-09-02,2474.34,2566.64,2474.34,2562.72,92.16,3.73,3025993500,31787227325
399019,创业200,2019-09-03,2567.67,2596.76,2567.46,2596.67,33.96,1.33,3082052400,32852564174
399019,创业200,2019-09-04,2589.08,2621.39,2584.78,2621.39,24.72,0.95,3051466300,32943285036
399019,创业200,2019-09-05,2647.55,2691.94,2636.17,2651.88,30.49,1.16,3805818400,41315630462
399019,创业200,2019-09-06,2670.49,2682.87,2644.16,2674.75,22.87,0.86,3168447700,36633138911
399019,创业200,2019-09-09,2701.36,2760.75,2688.17,2760.75,86,3.22,3817864700,42864167376
399019,创业200,2019-09-10,2758.98,2768.75,2732.75,2757.06,-3.7,-0.13,3672987500,42125626860
399019,创业200,2019-09-11,2766.66,2771.84,2733.96,2735.88,-21.18,-0.77,3263765900,36769036935
399019,创业200,2019-09-12,2746.89,2761.35,2726.26,2755.3,19.42,0.71,2983309700,32298220667
399019,创业200,2019-09-16,2767.88,2797.97,2762.12,2782.3,27,0.98,3366689900,37113974646
399019,创业200,2019-09-17,2763.08,2765.92,2693.5,2708.44,-73.86,-2.65,3357110300,36025158172
399019,创业200,2019-09-18,2718.74,2722.68,2685.88,2696.95,-11.49,-0.42,2621928100,29264157973
399019,创业200,2019-09-19,2700.11,2739.27,2690.66,2739.27,42.32,1.57,2590183000,29575681531
399019,创业200,2019-09-20,2745.54,2763.14,2734.63,2742.49,3.23,0.12,2706679400,32046283938
399019,创业200,2019-09-23,2724.24,2727.49,2701.19,2727.49,-15,-0.55,2518368600,29658936076
399019,创业200,2019-09-24,2733.13,2777.18,2729.79,2750.58,23.09,0.85,2821036400,35697813666
399019,创业200,2019-09-25,2722.21,2732.97,2679.97,2682.37,-68.21,-2.48,2706560200,32699846885
399019,创业200,2019-09-26,2691.12,2691.42,2563.22,2563.22,-119.16,-4.44,2792986800,32403483090
399019,创业200,2019-09-27,2571.7,2617.38,2566.83,2599.36,36.14,1.41,1939920500,23340996702
399019,创业200,2019-09-30,2604.22,2616.97,2563.61,2563.61,-35.75,-1.38,1774805500,20894388873
399019,创业200,2019-10-08,2578.54,2593.08,2546.09,2551.71,-11.9,-0.46,1660859300,20102701481
399019,创业200,2019-10-09,2531.3,2584.16,2523.47,2584.16,32.45,1.27,1672727300,19661990535
399019,创业200,2019-10-10,2583.13,2640.2,2583.13,2639.74,55.58,2.15,2008830300,25139505189
399019,创业200,2019-10-11,2638.37,2654.39,2615.02,2638.82,-0.92,-0.03,2231049000,26473929771
399019,创业200,2019-10-14,2666.44,2691.73,2654.82,2691.73,52.9,2,2471917100,29031438415
399019,创业200,2019-10-15,2662.78,2662.86,2623.5,2628.58,-63.15,-2.35,2668600000,28820425642
399019,创业200,2019-10-16,2634.35,2646.67,2619.81,2621.96,-6.62,-0.25,2238782000,24637558910
399019,创业200,2019-10-17,2618.74,2637.24,2610.39,2620.16,-1.8,-0.07,1945404400,20989663728
399019,创业200,2019-10-18,2623.46,2637.94,2581.9,2589,-31.16,-1.19,2103212500,21876747000
399019,创业200,2019-10-21,2589.31,2589.31,2550.12,2575.97,-13.04,-0.5,1830481300,19570658840
399019,创业200,2019-10-22,2577.46,2623.75,2577.46,2623.75,47.79,1.86,2104284500,21938946459
399019,创业200,2019-10-23,2619.38,2626.42,2587.37,2594.42,-29.33,-1.12,2145692800,23086446625
399019,创业200,2019-10-24,2587.54,2595.34,2560.49,2583.7,-10.72,-0.41,2059651600,20455906355
399019,创业200,2019-10-25,2578.35,2608.76,2561.53,2602.36,18.65,0.72,2107971500,20806050143
399019,创业200,2019-10-28,2646.79,2685.31,2640.03,2684.24,81.88,3.15,3051201200,30924425023
399019,创业200,2019-10-29,2681.53,2681.53,2629.74,2629.74,-54.49,-2.03,3075371500,33054534607
399019,创业200,2019-10-30,2611.34,2633.98,2591.22,2603.56,-26.19,-1,2565006400,27188944815
399019,创业200,2019-10-31,2605.24,2613.41,2563.9,2565.83,-37.73,-1.45,2276430900,23694380808
399019,创业200,2019-11-01,2548.52,2590.15,2547.57,2583.5,17.67,0.69,2208328400,22605510292
399019,创业200,2019-11-04,2592.88,2622.16,2590.74,2603.14,19.64,0.76,2244605000,24935601141
399019,创业200,2019-11-05,2605.12,2612.59,2581.06,2607.7,4.56,0.18,2050054200,22671551594
399019,创业200,2019-11-06,2601.05,2612.69,2568.57,2579.73,-27.96,-1.07,2073566100,23268672444
399019,创业200,2019-11-07,2574.98,2610.57,2574.31,2605.32,25.59,0.99,2026739300,23015165984
399019,创业200,2019-11-08,2622.94,2628.84,2595.72,2596.76,-8.56,-0.33,1995141100,23619368012
399019,创业200,2019-11-11,2565.51,2565.51,2514.34,2518.08,-78.68,-3.03,2055388600,22018207055
399019,创业200,2019-11-12,2524.89,2529.93,2489.68,2529.93,11.85,0.47,1726850100,18654355445
399019,创业200,2019-11-13,2519.2,2533.13,2510,2525.06,-4.86,-0.19,1698562200,19055316306
399019,创业200,2019-11-14,2521.54,2554.45,2520.92,2545.86,20.79,0.82,1770992900,20411538404
399019,创业200,2019-11-15,2541.1,2554.72,2514.87,2514.87,-30.98,-1.22,1956122400,22206821843
399019,创业200,2019-11-18,2508.56,2538.61,2508.56,2535.31,20.44,0.81,1560399700,17692237116
399019,创业200,2019-11-19,2535.01,2598.36,2535.01,2598.36,63.04,2.49,2118304100,23780134409
399019,创业200,2019-11-20,2590.16,2605.52,2568.66,2572.91,-25.45,-0.98,2023745400,23305124615
399019,创业200,2019-11-21,2556.87,2589.02,2556.87,2574.61,1.7,0.07,1819553600,18805995320
399019,创业200,2019-11-22,2580.14,2598.17,2509.84,2522.83,-51.77,-2.01,2311446700,24437476678
399019,创业200,2019-11-25,2526.1,2526.1,2467.96,2476.92,-45.91,-1.82,2073277100,20796865526
399019,创业200,2019-11-26,2480.72,2494.66,2468.43,2472.36,-4.57,-0.18,1723484600,17249386862
399019,创业200,2019-11-27,2464.56,2490.12,2459.78,2476.81,4.45,0.18,1662275600,16964240246
399019,创业200,2019-11-28,2471.04,2486.57,2458.99,2465.06,-11.74,-0.47,1590631600,16754633766
399019,创业200,2019-11-29,2462.11,2471.59,2441.32,2468.4,3.33,0.14,1586868700,15899198203
399019,创业200,2019-12-02,2474.26,2488.44,2465.62,2478.54,10.14,0.41,1529149800,16143896456
399019,创业200,2019-12-03,2457.86,2504.85,2457.73,2504.85,26.31,1.06,1718979300,17229698520
399019,创业200,2019-12-04,2488.14,2519.07,2488.14,2506.6,1.75,0.07,1723639100,17532026061
399019,创业200,2019-12-05,2515.24,2547.73,2510.8,2541.05,34.46,1.37,1967250500,21739286358
399019,创业200,2019-12-06,2540.18,2561.67,2529.34,2561.67,20.62,0.81,2156816900,22197127834
399019,创业200,2019-12-09,2570.45,2577.98,2560.74,2571.11,9.44,0.37,2352372700,24699789769
399019,创业200,2019-12-10,2562.28,2597.63,2560.29,2597.63,26.52,1.03,2631399000,25266625655
399019,创业200,2019-12-11,2597.84,2606.8,2581.07,2585.77,-11.86,-0.46,2707018600,25659049867
399019,创业200,2019-12-12,2584.09,2615.99,2578.11,2595.08,9.31,0.36,2589390500,26569029280
399019,创业200,2019-12-13,2619.01,2638.59,2606.35,2638.59,43.51,1.68,2536479100,27662144364
399019,创业200,2019-12-16,2650.48,2710.55,2650.48,2710.55,71.96,2.73,3217210000,37760817726
399019,创业200,2019-12-17,2714.8,2754.46,2714.8,2746.58,36.03,1.33,3648937700,41866727604
399019,创业200,2019-12-18,2751.21,2778.73,2751.04,2763.29,16.71,0.61,3653888000,41245988769
399019,创业200,2019-12-19,2769.87,2784.52,2760.23,2775.72,12.43,0.45,3721282800,40565670768
399019,创业200,2019-12-20,2782.31,2784.17,2730.95,2730.95,-44.77,-1.61,3263809700,35303840250
399019,创业200,2019-12-23,2705.65,2717.76,2650.16,2651.2,-79.76,-2.92,2872064700,31829634779
399019,创业200,2019-12-24,2659.49,2703.27,2652.43,2703.27,52.07,1.96,2490988700,29259047592
399019,创业200,2019-12-25,2698.12,2742.03,2698.12,2733.35,30.08,1.11,2917376700,34492568419
399019,创业200,2019-12-26,2730.57,2745.87,2718.91,2745.87,12.52,0.46,2617342400,31498865456
399019,创业200,2019-12-27,2746.69,2755.24,2696.99,2698.54,-47.33,-1.72,3034263700,35297575506
399019,创业200,2019-12-30,2669.95,2696.36,2631.9,2692.43,-6.11,-0.23,2489521500,28149174296
399019,创业200,2019-12-31,2688.76,2711.87,2688.34,2707.41,14.98,0.56,2279951400,25882053419
399019,创业200,2020-01-02,2726.76,2777.63,2714.39,2774.75,67.33,2.49,3307450300,37031884596
399019,创业200,2020-01-03,2781.23,2795.78,2762.94,2790.19,15.44,0.56,3472033000,38082471721
399019,创业200,2020-01-06,2770.7,2848.06,2770.7,2827.29,37.1,1.33,4176067800,43338043582
399019,创业200,2020-01-07,2840.89,2882.4,2836.66,2882.4,55.12,1.95,3901704500,44666515607
399019,创业200,2020-01-08,2865.4,2893.24,2839.22,2847.51,-34.89,-1.21,4386078700,48092486848
399019,创业200,2020-01-09,2879.29,2907.88,2872.45,2907.88,60.37,2.12,3908755500,45220047544
399019,创业200,2020-01-10,2918.23,2918.23,2886.74,2900.41,-7.47,-0.26,3578625700,43780870001
399019,创业200,2020-01-13,2897.4,2941.96,2879.13,2941.96,41.55,1.43,3248399000,40494813980
399019,创业200,2020-01-14,2946.36,2955.28,2934.34,2936.31,-5.66,-0.19,3700807700,43623676041
399019,创业200,2020-01-15,2922.8,2945.04,2910.55,2943.42,7.12,0.24,3300522000,39552210396
399019,创业200,2020-01-16,2941,2956,2933.18,2940.67,-2.76,-0.09,3071353900,39612509493
399019,创业200,2020-01-17,2949.34,2949.79,2913.24,2917.48,-23.19,-0.79,2932052500,38439570474
399019,创业200,2020-01-20,2917.04,2957.44,2900.8,2957.44,39.97,1.37,3221767300,41345304930
399019,创业200,2020-01-21,2945.15,2960.58,2933.31,2933.31,-24.14,-0.82,3324512300,41049394338
399019,创业200,2020-01-22,2902.21,2972.38,2873.27,2960.99,27.69,0.94,3747838400,45654438332
399019,创业200,2020-01-23,2905.1,2948.44,2816.17,2845.32,-115.67,-3.91,4040539400,48720791085
399019,创业200,2020-02-03,2585.54,2599.05,2575.69,2582.8,-262.52,-9.23,1373645300,14823932695
399019,创业200,2020-02-04,2492.84,2599.89,2492.84,2585.8,3,0.12,4686831200,47479325882
399019,创业200,2020-02-05,2606.73,2697.11,2606.53,2658.54,72.75,2.81,4279465700,48653393961
399019,创业200,2020-02-06,2653.27,2766.92,2651.79,2753.2,94.66,3.56,4641325300,51054961716
399019,创业200,2020-02-07,2757.8,2823.06,2741.28,2820.43,67.23,2.44,4967251700,55137170167
399019,创业200,2020-02-10,2826.7,2848.96,2798.78,2847.89,27.46,0.97,4650997900,52007189779
399019,创业200,2020-02-11,2850.12,2850.12,2805.69,2820.47,-27.42,-0.96,3878901800,45057194357
399019,创业200,2020-02-12,2814.98,2909.58,2814.98,2908.35,87.88,3.12,4094488400,50352808125
399019,创业200,2020-02-13,2915.69,2930.38,2870.33,2886.85,-21.5,-0.74,4458745400,58604574338
399019,创业200,2020-02-14,2885.34,2936.2,2859.74,2893.39,6.53,0.23,3951796200,52277674345
399019,创业200,2020-02-17,2932.24,3022.11,2926.33,3022.11,128.72,4.45,4552998300,58835956501
399019,创业200,2020-02-18,3027.73,3115.49,3027.73,3115.22,93.11,3.08,5187339200,68970853388
399019,创业200,2020-02-19,3095.72,3143.52,3076.65,3077.33,-37.88,-1.22,5270130800,69999629587
399019,创业200,2020-02-20,3098.88,3142.49,3047.33,3137.83,60.5,1.97,5009425000,65292287564
399019,创业200,2020-02-21,3139.33,3221.13,3139.33,3198.79,60.96,1.94,5624002700,74094043668
399019,创业200,2020-02-24,3203.78,3310.53,3198.64,3295.39,96.6,3.02,6262183000,83409100841
399019,创业200,2020-02-25,3212.9,3331.86,3132.55,3321.15,25.76,0.78,7225160500,94335612696
399019,创业200,2020-02-26,3260.33,3291.83,3160.18,3174.11,-147.03,-4.43,6244381200,77421091529
399019,创业200,2020-02-27,3216.25,3249.68,3122.78,3199.08,24.96,0.79,5118751000,61809023499
399019,创业200,2020-02-28,3073.18,3110.35,2975.88,2975.97,-223.11,-6.97,5531234000,62721506802
399019,创业200,2020-03-02,3038.46,3124.58,3001.86,3104.38,128.41,4.32,4536790100,53044166936
399019,创业200,2020-03-03,3181.16,3237.31,3115.78,3149.51,45.12,1.45,5890330500,69114374594
399019,创业200,2020-03-04,3132.15,3181.58,3085.63,3154.08,4.58,0.15,5011860500,55600218827
399019,创业200,2020-03-05,3220.11,3220.11,3138.81,3172.78,18.69,0.59,5513031500,59151385874
399019,创业200,2020-03-06,3120.81,3186.05,3120.81,3159.79,-12.99,-0.41,4790243800,48903740214
399019,创业200,2020-03-09,3094.34,3115.95,3003.52,3003.52,-156.27,-4.95,5154334500,55659734250
399019,创业200,2020-03-10,3016.67,3115.53,2938.66,3115.53,112.02,3.73,4972671800,55446719456
399019,创业200,2020-03-11,3132.95,3166.29,3065.61,3066.36,-49.17,-1.58,4924132000,55220825856
399019,创业200,2020-03-12,3008.44,3062.96,2991.38,3026.91,-39.46,-1.29,3980484100,43034519003
399019,创业200,2020-03-13,2878.19,3038.36,2875.01,3011.06,-15.84,-0.52,4983904800,52470242954
399019,创业200,2020-03-16,3039.14,3039.14,2825.42,2834.19,-176.88,-5.87,4737329400,51471295156
399019,创业200,2020-03-17,2889.42,2889.42,2736.6,2845.57,11.39,0.4,3928986700,42155902281
