candle_end_time,open,high,low,close,amount,info,pre_close
2021-11-11,1418.48,1443.60,1416.18,1437.15,10200216.00,{},1420.45
2021-11-12,1432.71,1444.41,1425.58,1440.16,10727916.00,{},1437.15
2021-11-15,1441.41,1448.03,1429.32,1432.60,11415896.00,{},1440.16
2021-11-16,1428.48,1438.61,1418.20,1421.27,10301429.00,{},1432.60
2021-11-17,1420.99,1438.80,1414.12,1436.16,9775222.00,{},1421.27
2021-11-18,1433.51,1433.64,1417.17,1423.97,10239622.00,{},1436.16
2021-11-19,1424.76,1447.19,1424.76,1444.78,9380937.00,{},1423.97
2021-11-22,1449.45,1483.48,1449.38,1479.99,11213782.00,{},1444.78
2021-11-23,1477.67,1485.80,1473.55,1476.25,10579714.00,{},1479.99
2021-11-24,1477.96,1489.71,1471.62,1472.22,10066693.00,{},1476.25
2021-11-25,1472.64,1477.74,1465.64,1468.07,9806109.00,{},1472.22
2021-11-26,1466.36,1470.53,1450.93,1459.93,9106979.00,{},1468.07
2021-11-29,1448.50,1474.44,1444.30,1471.23,10436432.00,{},1459.93
2021-11-30,1477.80,1479.93,1463.15,1475.71,10256269.00,{},1471.23
2021-12-01,1473.52,1479.09,1452.75,1456.48,8961384.00,{},1475.71
2021-12-02,1454.74,1458.08,1427.98,1429.50,9043364.00,{},1456.48
2021-12-03,1432.23,1444.99,1431.59,1444.83,8489747.00,{},1429.50
2021-12-06,1444.93,1445.16,1405.51,1405.77,9235243.00,{},1444.83
2021-12-07,1413.00,1415.05,1380.51,1389.44,8730994.00,{},1405.77
2021-12-08,1394.99,1416.69,1394.99,1415.37,7151266.00,{},1389.44
2021-12-09,1417.34,1438.49,1410.15,1434.52,8145978.00,{},1415.37
2021-12-10,1431.85,1442.62,1425.00,1435.70,10303018.00,{},1434.52
2021-12-13,1439.19,1450.83,1434.15,1445.71,8536485.00,{},1435.70
2021-12-14,1445.05,1451.68,1435.89,1439.47,7914952.00,{},1445.71
2021-12-15,1439.12,1443.55,1424.77,1424.90,8234987.00,{},1439.47
2021-12-16,1425.53,1436.06,1419.70,1425.93,7414006.00,{},1424.90
2021-12-17,1426.79,1430.39,1395.64,1399.06,8054162.00,{},1425.93
2021-12-20,1389.18,1401.34,1363.11,1363.96,7751401.00,{},1399.06
2021-12-21,1366.27,1378.49,1363.97,1374.65,6785367.00,{},1363.96
2021-12-22,1378.31,1386.24,1373.53,1375.03,7598660.00,{},1374.65
2021-12-23,1375.83,1380.15,1366.99,1375.97,7016695.00,{},1375.03
2021-12-24,1375.18,1378.30,1353.65,1358.73,7635981.00,{},1375.97
2021-12-27,1356.41,1369.21,1349.11,1355.64,6350202.00,{},1358.73
2021-12-28,1355.65,1370.31,1355.65,1369.62,6636276.00,{},1355.64
2021-12-29,1370.49,1370.49,1352.00,1356.21,6304036.00,{},1369.62
2021-12-30,1355.97,1381.44,1355.41,1375.56,7816841.00,{},1356.21
2021-12-31,1384.28,1399.75,1383.84,1398.19,7840208.00,{},1375.56
2022-01-04,1403.39,1405.51,1361.43,1364.99,9302562.00,{},1398.19
2022-01-05,1364.01,1365.77,1328.29,1333.33,9000497.00,{},1364.99
2022-01-06,1327.70,1331.43,1309.90,1320.94,7953740.00,{},1333.33
2022-01-07,1322.89,1331.91,1305.14,1305.49,9117416.00,{},1320.94
2022-01-10,1306.60,1323.15,1291.41,1318.27,8517367.00,{},1305.49
2022-01-11,1317.92,1317.93,1291.51,1294.40,8035785.00,{},1318.27
2022-01-12,1298.62,1317.52,1298.62,1316.35,8890363.00,{},1294.40
2022-01-13,1319.19,1319.19,1294.65,1294.65,8251106.00,{},1316.35
2022-01-14,1289.38,1316.33,1288.85,1312.29,9975888.00,{},1294.65
2022-01-17,1317.39,1341.17,1313.62,1338.32,10462288.00,{},1312.29
2022-01-18,1340.41,1362.48,1328.40,1342.36,11182558.00,{},1338.32
2022-01-19,1340.71,1343.30,1318.31,1324.09,8753067.00,{},1342.36
2022-01-20,1326.64,1329.81,1304.69,1306.02,9122820.00,{},1324.09
2022-01-21,1304.16,1308.44,1288.78,1290.41,8648363.00,{},1306.02
2022-01-24,1286.14,1311.51,1285.04,1307.74,7030921.00,{},1290.41
2022-01-25,1303.93,1311.73,1276.20,1277.00,8234706.00,{},1307.74
2022-01-26,1281.51,1289.41,1261.95,1276.36,15139954.00,{},1277.00
2022-01-27,1274.63,1280.25,1239.49,1240.55,11187482.00,{},1276.36
2022-01-28,1253.94,1255.19,1229.22,1229.22,9061238.00,{},1240.55
2022-02-07,1247.58,1263.97,1230.70,1233.62,8199670.00,{},1229.22
2022-02-08,1233.66,1233.66,1191.49,1204.05,8219262.00,{},1233.62
2022-02-09,1204.24,1212.45,1195.09,1210.29,8613441.00,{},1204.05
2022-02-10,1214.98,1215.28,1182.40,1188.20,9020558.00,{},1210.29
2022-02-11,1182.87,1188.52,1168.90,1169.59,8975096.00,{},1188.20
2022-02-14,1161.84,1179.89,1148.70,1169.44,6205633.00,{},1169.59
2022-02-15,1172.77,1204.34,1171.68,1203.12,7440951.00,{},1169.44
2022-02-16,1210.42,1211.55,1195.97,1197.56,7084265.00,{},1203.12
2022-02-17,1196.60,1217.47,1191.45,1207.82,7402910.00,{},1197.56
2022-02-18,1200.34,1206.01,1195.24,1204.37,6396948.00,{},1207.82
2022-02-21,1207.15,1212.49,1191.84,1193.60,7576727.00,{},1204.37
2022-02-22,1184.84,1186.78,1168.57,1183.98,7696765.00,{},1193.60
2022-02-23,1182.42,1233.44,1181.40,1231.08,9068585.00,{},1183.98
2022-02-24,1226.95,1240.35,1199.07,1214.99,11331530.00,{},1231.08
2022-02-25,1231.54,1253.46,1230.61,1240.88,8620741.00,{},1214.99
2022-02-28,1243.98,1249.59,1230.65,1249.59,9812227.00,{},1240.88
2022-03-01,1254.57,1259.68,1232.09,1239.02,8568308.00,{},1249.59
2022-03-02,1233.10,1233.92,1216.47,1230.28,7208667.00,{},1239.02
2022-03-03,1235.96,1237.20,1208.82,1209.82,7620905.00,{},1230.28
2022-03-04,1201.12,1228.19,1197.83,1203.09,7767776.00,{},1209.82
2022-03-07,1198.01,1198.01,1164.98,1169.98,8184385.00,{},1203.09
2022-03-08,1167.59,1179.20,1135.52,1137.08,9672312.00,{},1169.98
2022-03-09,1148.18,1156.40,1097.07,1129.65,10917419.00,{},1137.08
2022-03-10,1161.99,1168.14,1149.42,1153.36,10228939.00,{},1129.65
2022-03-11,1137.61,1162.60,1125.34,1161.21,10553236.00,{},1153.36
2022-03-14,1151.97,1154.70,1126.26,1126.28,8923501.00,{},1161.21
2022-03-15,1115.19,1142.81,1093.43,1093.43,10622022.00,{},1126.28
2022-03-16,1115.84,1128.12,1070.77,1125.48,11589989.00,{},1093.43
2022-03-17,1144.98,1163.51,1138.01,1142.71,11980371.00,{},1125.48
2022-03-18,1136.98,1144.32,1124.85,1144.32,8593988.00,{},1142.71
2022-03-21,1143.55,1160.71,1137.81,1152.33,9242880.00,{},1144.32
2022-03-22,1145.08,1149.47,1131.88,1134.32,10100149.00,{},1152.33
2022-03-23,1138.73,1150.20,1130.22,1144.09,8990593.00,{},1134.32
2022-03-24,1135.85,1141.76,1121.64,1134.57,8134171.00,{},1144.09
2022-03-25,1137.80,1140.92,1106.36,1106.86,7338739.00,{},1134.57
2022-03-28,1097.87,1101.33,1085.27,1090.73,6734435.00,{},1106.86
2022-03-29,1097.36,1099.24,1078.34,1079.93,6966104.00,{},1090.73
2022-03-30,1084.76,1112.63,1084.76,1112.52,7382173.00,{},1079.93
2022-03-31,1109.55,1109.55,1086.99,1091.06,7493790.00,{},1112.52
2022-04-01,1085.31,1095.46,1074.79,1089.19,6563324.00,{},1091.06
2022-04-06,1087.76,1087.76,1054.70,1058.49,7593340.00,{},1089.19
2022-04-07,1050.43,1059.36,1036.07,1036.07,7199422.00,{},1058.49
2022-04-08,1032.84,1039.10,1017.18,1027.24,7185175.00,{},1036.07
2022-04-11,1022.91,1022.91,985.59,988.76,7376606.00,{},1027.24
2022-04-12,987.45,994.83,970.05,994.44,6643485.00,{},988.76
2022-04-13,989.66,989.66,964.83,964.83,5728478.00,{},994.44
2022-04-14,972.24,982.70,961.54,975.57,6624018.00,{},964.83
2022-04-15,968.91,980.15,955.77,973.36,6724774.00,{},975.57
2022-04-18,969.06,1005.89,964.49,1004.61,7087611.00,{},973.36
2022-04-19,1002.98,1010.58,987.77,989.93,6158754.00,{},1004.61
2022-04-20,988.75,992.47,973.05,973.51,6078594.00,{},989.93
2022-04-21,968.48,989.25,954.84,957.72,6865450.00,{},973.51
2022-04-22,953.64,959.73,940.26,942.07,6360020.00,{},957.72
2022-04-25,924.96,924.96,884.30,884.30,9136037.00,{},942.07
2022-04-26,884.18,901.76,865.65,868.07,8059534.00,{},884.30
2022-04-27,857.38,910.07,853.21,906.43,9287122.00,{},868.07
2022-04-28,899.66,908.45,885.25,903.06,8793258.00,{},906.43
2022-04-29,910.14,949.06,902.58,947.15,9738874.00,{},903.06
2022-05-05,944.55,967.25,944.06,956.13,8590368.00,{},947.15
2022-05-06,933.01,960.04,929.82,942.23,7183487.00,{},956.13
2022-05-09,938.39,953.60,937.43,946.72,6765286.00,{},942.23
2022-05-10,935.06,983.68,931.58,972.14,8374513.00,{},946.72
2022-05-11,974.54,1026.49,972.86,1002.46,10648066.00,{},972.14
2022-05-12,999.54,1021.96,996.47,1013.06,8131937.00,{},1002.46
2022-05-13,1020.39,1021.37,1002.27,1010.80,6622283.00,{},1013.06
2022-05-16,1016.94,1025.60,995.25,996.51,7612821.00,{},1010.80
2022-05-17,995.97,1013.95,993.38,1010.37,7342573.00,{},996.51
2022-05-18,1011.53,1023.93,1007.57,1014.00,6720129.00,{},1010.37
2022-05-19,1002.66,1036.67,999.40,1036.34,7902840.00,{},1014.00
2022-05-20,1045.69,1049.04,1028.95,1045.38,8060715.00,{},1036.34
2022-05-23,1044.18,1050.06,1033.79,1046.15,7552498.00,{},1045.38
2022-05-24,1045.01,1045.03,996.65,996.65,9146504.00,{},1046.15
2022-05-25,996.75,1008.58,991.97,1006.52,6407957.00,{},996.65
2022-05-26,1006.10,1014.85,986.42,1004.26,6793010.00,{},1006.52
2022-05-27,1008.06,1015.46,988.21,993.70,6835761.00,{},1004.26
2022-05-30,995.96,1007.12,984.28,1001.54,7110602.00,{},993.70
2022-05-31,1004.08,1035.32,991.75,1035.32,12296032.00,{},1001.54
2022-06-01,1029.09,1038.70,1024.76,1031.58,13257484.00,{},1035.32
2022-06-02,1028.69,1081.92,1023.99,1079.85,19161110.00,{},1031.58
2022-06-06,1084.66,1130.76,1081.45,1121.54,22940399.00,{},1079.85
2022-06-07,1124.16,1124.52,1104.43,1111.40,16527788.00,{},1121.54
2022-06-08,1108.59,1126.46,1091.68,1111.67,15056600.00,{},1111.40
2022-06-09,1108.93,1109.73,1073.66,1081.17,11377633.00,{},1111.67
2022-06-10,1074.07,1103.15,1072.18,1102.85,12923596.00,{},1081.17
2022-06-13,1088.76,1094.79,1080.39,1088.38,11242662.00,{},1102.85
2022-06-14,1073.75,1076.82,1039.00,1070.54,11274084.00,{},1088.38
2022-06-15,1069.94,1085.88,1061.46,1062.71,11204511.00,{},1070.54
2022-06-16,1065.69,1094.70,1065.44,1078.95,10129777.00,{},1062.71
2022-06-17,1070.62,1094.27,1066.17,1092.09,10617344.00,{},1078.95
2022-06-20,1099.46,1109.74,1086.75,1095.33,10970631.00,{},1092.09
2022-06-21,1094.33,1098.90,1073.50,1083.02,10545015.00,{},1095.33
2022-06-22,1084.71,1090.02,1063.59,1063.69,10786063.00,{},1083.02
2022-06-23,1064.73,1083.10,1054.91,1081.84,11016481.00,{},1063.69
2022-06-24,1084.61,1107.33,1084.61,1101.48,12574040.00,{},1081.84
2022-06-27,1113.22,1121.45,1101.32,1103.40,11837409.00,{},1101.48
2022-06-28,1105.11,1119.18,1084.59,1117.28,12493418.00,{},1103.40
2022-06-29,1112.59,1121.24,1089.25,1090.68,13435015.00,{},1117.28
2022-06-30,1092.46,1116.95,1090.50,1105.67,11699048.00,{},1090.68
2022-07-01,1105.97,1107.86,1086.25,1089.03,11272489.00,{},1105.67
